Country,Census Year,Population (in thousands),Formatted Population
Afghanistan,2025,"43,844.11",43.84 Million
Albania,2025,"2,349.58",2.35 Million
Algeria,2025,"47,435.31",47.44 Million
American Samoa,2025,46.03,46.03 Thousand
Andorra,2025,82.90,82.90 Thousand
Angola,2025,"39,040.04",39.04 Million
Antigua and Barbuda,2025,94.21,94.21 Thousand
Argentina,2025,"45,851.38",45.85 Million
Armenia,2025,"3,086.70",3.09 Million
Aruba,2025,108.78,108.78 Thousand
Australia,2025,"27,614.41",27.61 Million
Austria,2025,"9,208.16",9.21 Million
Azerbaijan,2025,"10,247.00",10.25 Million
"Bahamas, The",2025,403.03,403.03 Thousand
Bahrain,2025,"1,600.37",1.60 Million
Bangladesh,2025,"175,686.90",175.69 Million
Barbados,2025,282.62,282.62 Thousand
Belarus,2025,"9,085.99",9.09 Million
Belgium,2025,"11,941.78",11.94 Million
Belize,2025,422.92,422.92 Thousand
Benin,2025,"14,814.46",14.81 Million
Bermuda,2025,64.56,64.56 Thousand
Bhutan,2025,796.68,796.68 Thousand
Bolivia,2025,"12,581.84",12.58 Million
Bosnia and Herzegovina,2025,"3,140.09",3.14 Million
Botswana,2025,"2,562.12",2.56 Million
Brazil,2025,"212,812.40",212.81 Million
British Virgin Islands,2025,39.73,39.73 Thousand
Brunei Darussalam,2025,466.33,466.33 Thousand
Bulgaria,2025,"6,433.30",6.43 Million
Burkina Faso,2025,"24,074.58",24.07 Million
Burundi,2025,"14,390.00",14.39 Million
Cabo Verde,2025,527.33,527.33 Thousand
Cambodia,2025,"17,847.98",17.85 Million
Cameroon,2025,"29,879.34",29.88 Million
Canada,2025,"41,651.65",41.65 Million
Cayman Islands,2025,75.84,75.84 Thousand
Central African Republic,2025,"5,513.28",5.51 Million
Chad,2025,"21,003.71",21.00 Million
Channel Islands,2025,168.47,168.47 Thousand
Chile,2025,"19,859.92",19.86 Million
China,2025,"1,406,585.00",1.41 Billion
Colombia,2025,"53,425.64",53.43 Million
Comoros,2025,882.85,882.85 Thousand
"Congo, Dem. Rep.",2025,"112,832.47",112.83 Million
"Congo, Rep.",2025,"6,484.44",6.48 Million
Costa Rica,2025,"5,152.95",5.15 Million
Cote d'Ivoire,2025,"32,711.55",32.71 Million
Croatia,2025,"3,876.20",3.88 Million
Cuba,2025,"10,937.20",10.94 Million
Curacao,2025,156.26,156.26 Thousand
Cyprus,2025,"1,370.75",1.37 Million
Czechia,2025,"10,886.88",10.89 Million
Denmark,2025,"6,009.17",6.01 Million
Djibouti,2025,"1,184.08",1.18 Million
Dominica,2025,65.87,65.87 Thousand
Dominican Republic,2025,"11,520.49",11.52 Million
Ecuador,2025,"18,289.90",18.29 Million
"Egypt, Arab Rep.",2025,"118,365.99",118.37 Million
El Salvador,2025,"6,365.50",6.37 Million
Equatorial Guinea,2025,"1,938.43",1.94 Million
Eritrea,2025,"3,607.00",3.61 Million
Estonia,2025,"1,366.47",1.37 Million
Eswatini,2025,"1,256.17",1.26 Million
Ethiopia,2025,"135,472.05",135.47 Million
Faroe Islands,2025,54.90,54.90 Thousand
Fiji,2025,933.15,933.15 Thousand
Finland,2025,"5,646.44",5.65 Million
France,2025,"68,720.34",68.72 Million
French Polynesia,2025,282.46,282.46 Thousand
Gabon,2025,"2,593.13",2.59 Million
"Gambia, The",2025,"2,822.09",2.82 Million
Georgia,2025,"3,935.77",3.94 Million
Germany,2025,"83,491.25",83.49 Million
Ghana,2025,"35,064.27",35.06 Million
Gibraltar,2025,40.13,40.13 Thousand
Greece,2025,"10,413.96",10.41 Million
Greenland,2025,56.83,56.83 Thousand
Grenada,2025,117.30,117.30 Thousand
Guam,2025,169.00,169.00 Thousand
Guatemala,2025,"18,687.88",18.69 Million
Guinea,2025,"15,099.73",15.10 Million
Guinea-Bissau,2025,"2,249.51",2.25 Million
Guyana,2025,835.99,835.99 Thousand
Haiti,2025,"11,906.09",11.91 Million
Honduras,2025,"11,005.85",11.01 Million
"Hong Kong SAR, China",2025,"7,498.90",7.50 Million
Hungary,2025,"9,514.25",9.51 Million
Iceland,2025,392.40,392.40 Thousand
India,2025,"1,463,865.52",1.46 Billion
Indonesia,2025,"285,721.24",285.72 Million
"Iran, Islamic Rep.",2025,"92,417.68",92.42 Million
Iraq,2025,"47,020.77",47.02 Million
Ireland,2025,"5,484.37",5.48 Million
Isle of Man,2025,84.12,84.12 Thousand
Israel,2025,"10,122.80",10.12 Million
Italy,2025,"58,915.66",58.92 Million
Jamaica,2025,"2,837.08",2.84 Million
Japan,2025,"123,366.73",123.37 Million
Jordan,2025,"11,520.68",11.52 Million
Kazakhstan,2025,"20,843.75",20.84 Million
Kenya,2025,"57,532.49",57.53 Million
Kiribati,2025,136.49,136.49 Thousand
"Korea, Dem. People's Rep.",2025,"26,571.04",26.57 Million
"Korea, Rep.",2025,"51,684.56",51.68 Million
Kosovo,2025,"1,576.88",1.58 Million
Kuwait,2025,"4,865.30",4.87 Million
Kyrgyz Republic,2025,"7,343.06",7.34 Million
Lao PDR,2025,"7,873.05",7.87 Million
Latvia,2025,"1,847.79",1.85 Million
Lebanon,2025,"5,849.42",5.85 Million
Lesotho,2025,"2,363.32",2.36 Million
Liberia,2025,"5,731.21",5.73 Million
Libya,2025,"7,458.56",7.46 Million
Liechtenstein,2025,41.02,41.02 Thousand
Lithuania,2025,"2,888.77",2.89 Million
Luxembourg,2025,686.97,686.97 Thousand
"Macao SAR, China",2025,685.90,685.90 Thousand
Madagascar,2025,"32,740.68",32.74 Million
Malawi,2025,"22,216.12",22.22 Million
Malaysia,2025,"35,977.84",35.98 Million
Maldives,2025,529.68,529.68 Thousand
Mali,2025,"25,198.82",25.20 Million
Malta,2025,579.70,579.70 Thousand
Marshall Islands,2025,36.28,36.28 Thousand
Mauritania,2025,"5,315.06",5.32 Million
Mauritius,2025,"1,243.74",1.24 Million
Mexico,2025,"131,946.90",131.95 Million
"Micronesia, Fed. Sts.",2025,113.68,113.68 Thousand
Moldova,2025,"2,360.53",2.36 Million
Monaco,2025,38.34,38.34 Thousand
Mongolia,2025,"3,568.98",3.57 Million
Montenegro,2025,623.13,623.13 Thousand
Morocco,2025,"38,430.77",38.43 Million
Mozambique,2025,"35,631.65",35.63 Million
Myanmar,2025,"54,850.65",54.85 Million
Namibia,2025,"3,092.82",3.09 Million
Nauru,2025,12.03,12.03 Thousand
Nepal,2025,"29,618.12",29.62 Million
Netherlands,2025,"18,087.63",18.09 Million
New Caledonia,2025,295.33,295.33 Thousand
New Zealand,2025,"5,324.70",5.32 Million
Nicaragua,2025,"7,007.50",7.01 Million
Niger,2025,"27,917.83",27.92 Million
Nigeria,2025,"237,527.78",237.53 Million
North Macedonia,2025,"1,820.91",1.82 Million
Northern Mariana Islands,2025,43.54,43.54 Thousand
Norway,2025,"5,610.87",5.61 Million
Oman,2025,"5,494.69",5.49 Million
Pakistan,2025,"255,219.55",255.22 Million
Palau,2025,17.66,17.66 Thousand
Panama,2025,"4,571.19",4.57 Million
Papua New Guinea,2025,"10,762.82",10.76 Million
Paraguay,2025,"7,013.08",7.01 Million
Peru,2025,"34,576.67",34.58 Million
Philippines,2025,"116,786.96",116.79 Million
Poland,2025,"36,435.86",36.44 Million
Portugal,2025,"10,804.87",10.80 Million
Puerto Rico (US),2025,"3,184.84",3.18 Million
Qatar,2025,"2,972.22",2.97 Million
Romania,2025,"19,020.27",19.02 Million
Russian Federation,2025,"143,513.33",143.51 Million
Rwanda,2025,"14,569.34",14.57 Million
Samoa,2025,219.31,219.31 Thousand
San Marino,2025,34.11,34.11 Thousand
Sao Tome and Principe,2025,240.25,240.25 Thousand
Saudi Arabia,2025,"36,973.56",36.97 Million
Senegal,2025,"18,931.97",18.93 Million
Serbia,2025,"6,549.14",6.55 Million
Seychelles,2025,122.73,122.73 Thousand
Sierra Leone,2025,"8,819.79",8.82 Million
Singapore,2025,"6,111.18",6.11 Million
Sint Maarten (Dutch part),2025,43.92,43.92 Thousand
Slovak Republic,2025,"5,413.81",5.41 Million
Slovenia,2025,"2,130.99",2.13 Million
Solomon Islands,2025,838.64,838.64 Thousand
"Somalia, Fed. Rep.",2025,"19,654.74",19.65 Million
South Africa,2025,"64,747.32",64.75 Million
South Sudan,2025,"12,188.79",12.19 Million
Spain,2025,"49,355.14",49.36 Million
Sri Lanka,2025,"21,756.00",21.76 Million
St. Kitts and Nevis,2025,46.92,46.92 Thousand
St. Lucia,2025,180.15,180.15 Thousand
St. Martin (French part),2025,24.94,24.94 Thousand
St. Vincent and the Grenadines,2025,99.92,99.92 Thousand
Sudan,2025,"51,662.15",51.66 Million
Suriname,2025,639.85,639.85 Thousand
Sweden,2025,"10,596.62",10.60 Million
Switzerland,2025,"9,092.44",9.09 Million
Syrian Arab Republic,2025,"25,620.43",25.62 Million
Tajikistan,2025,"10,786.73",10.79 Million
Tanzania,2025,"70,545.87",70.55 Million
Thailand,2025,"71,619.86",71.62 Million
Timor-Leste,2025,"1,418.52",1.42 Million
Togo,2025,"8,591.63",8.59 Million
Tonga,2025,103.74,103.74 Thousand
Trinidad and Tobago,2025,"1,367.76",1.37 Million
Tunisia,2025,"12,348.57",12.35 Million
Turkiye,2025,"85,878.56",85.88 Million
Turkmenistan,2025,"7,618.85",7.62 Million
Turks and Caicos Islands,2025,46.85,46.85 Thousand
Tuvalu,2025,9.49,9.49 Thousand
Uganda,2025,"51,384.89",51.38 Million
Ukraine,2025,"38,980.38",38.98 Million
United Arab Emirates,2025,"11,513.15",11.51 Million
United Kingdom,2025,"69,487.00",69.49 Million
United States,2025,"341,784.86",341.78 Million
Uruguay,2025,"3,384.69",3.38 Million
Uzbekistan,2025,"37,053.43",37.05 Million
Vanuatu,2025,335.17,335.17 Thousand
"Venezuela, RB",2025,"28,516.90",28.52 Million
Viet Nam,2025,"101,598.53",101.60 Million
Virgin Islands (U.S.),2025,103.79,103.79 Thousand
